證券代碼,日期,3日均價(元),5日均價(元),10日均價(元),13日均價(元),15日均價(元),20日均價(元),25日均價(元),26日均價(元),30日均價(元),55日均價(元),60日均價(元),65日均價(元),72日均價(元),125日均價(元),250日均價(元),週報酬率 %,月報酬率 %,季報酬率 %,年報酬率 %
1101 台泥,2017/12/29,36.28,36.28,35.42,35.11,34.96,34.69,34.52,34.52,34.51,34.16,34.13,34.1,34.09,34.37,35.13,3.6985,8.6439,7.8403,8.0504
1102 亞泥,2017/12/29,27.75,27.56,27.23,27.14,27.05,26.96,26.94,26.94,26.93,26.93,26.93,26.92,26.95,26.95,27.72,3.6765,1.2566,5.0279,10.6024
1216 統一,2017/12/29,65.8,65.42,65.25,65.45,65.34,65.08,64.79,64.76,64.74,64.25,64.27,64.16,64.12,62.87,59.72,1.072,3.6107,4.9284,28.1089
1301 台塑,2017/12/29,98.03,97.22,96.07,95.49,95.17,94.68,94.29,94.22,94.01,93.23,93.22,93.1,93.12,93.05,91.91,3.4591,8.9405,7.5165,16.3245
1303 南亞,2017/12/29,77.53,77.12,76.4,76.02,75.78,75.61,75.62,75.61,75.56,75.19,75.11,75.05,75.14,75.31,73.95,2.2309,3.0423,3.8664,16.0451
1326 台化,2017/12/29,101.5,100.08,99.07,98.12,97.57,96.92,96.24,96.15,95.87,94.56,94.45,94.24,94.13,93.53,93.81,5.6411,13.1869,11.8349,13.5544
1402 遠東新,2017/12/29,26.35,26.18,25.93,25.85,25.79,25.71,25.69,25.7,25.71,25.63,25.53,25.42,25.34,25.01,25.26,2.879,4.8924,11.2034,14.3447
2002 中鋼,2017/12/29,24.67,24.55,24.41,24.37,24.37,24.41,24.41,24.41,24.42,24.53,24.54,24.53,24.52,24.82,24.91,1.227,1.0203,1.2271,3.8752
2105 正新,2017/12/29,51.83,51.38,51.24,51.18,51.17,51.37,51.45,51.52,51.82,54.94,55.46,55.86,56.37,58.59,60.68,2.7398,2.1402,-13.0795,-9.4255
2301 光寶科,2017/12/29,40.38,40.19,39.95,39.68,39.45,39,38.76,38.72,38.6,39.86,40.19,40.44,40.72,43.35,47.06,2.7848,10.1764,-6.0185,-10.9299
2303 聯電,2017/12/29,14.23,14.24,14.37,14.47,14.54,14.69,14.87,14.91,15.06,15.31,15.35,15.34,15.36,15.1,13.63,-1.389,-7.1896,-5.3335,28.9775
2308 台達電,2017/12/29,141.67,141,139.2,138.77,138.63,138.58,138.64,138.94,138.93,140.4,141.49,142.58,144.1,151.6,159.59,2.8673,5.128,-8.3069,-7.2723
2317 鴻海,2017/12/29,93.9,93,92.77,93.06,93.33,93.74,95.29,95.65,96.83,102.73,103.1,103.31,103.67,109.09,102.61,2.4759,-4.7998,-11.0281,17.4692
2327 國巨,2017/12/29,343.33,339.2,339.05,330.96,326.2,318.53,320.12,319.92,316.52,284.52,279.55,274.31,267.97,224.53,153.14,3.0657,5.0595,66.5093,343.396
2330 台積電,2017/12/29,226.83,227,226.4,227.04,227.1,227.53,228.52,229.12,230.77,234.78,234.5,233.23,231.78,224.51,209.62,0.8791,1.5488,6.0047,30.5632
2354 鴻準,2017/12/29,84.23,83.82,84.26,84.56,84.77,84.68,84.73,84.84,85.27,88.76,89.03,88.94,88.96,91.08,90.53,0.5904,2.1583,-3.7289,3.9857
2357 華碩,2017/12/29,276.67,274.8,273.7,272.62,272.13,271.2,271.36,271.42,271.78,267.32,265.79,264.35,263.31,264.13,273.67,2.0073,1.268,12.7014,12.289
2382 廣達,2017/12/29,61.57,61.46,61.35,61.42,61.31,61.03,61.49,61.63,62.23,66.3,66.56,66.82,67.16,69.19,67.03,0.6505,0.6505,-11.4448,7.6722
2395 研華,2017/12/29,208.83,208.7,209.2,207.77,207.07,205.3,204.6,204.63,204.43,204.77,205.26,205.98,206.93,214.21,232.37,-0.0001,5.2498,-1.1737,-6.6006
2408 南亞科,2017/12/29,75.5,75.36,77.27,77.38,77.39,76.62,77.46,77.82,78.76,81.64,82.02,82.44,82.41,74.04,61.47,-2.0567,-2.0567,-11.7034,62.3143
2409 友達,2017/12/29,12.42,12.41,12.4,12.45,12.47,12.49,12.57,12.6,12.63,12.52,12.49,12.46,12.46,12.39,12.36,-0.4016,-2.7451,2.0575,9.4278
2412 中華電,2017/12/29,105.83,105.8,105.5,105.38,105.27,105,104.82,104.79,104.57,103.72,103.67,103.67,103.65,104.03,104.11,0.4738,2.4155,1.4356,9.4195
2454 聯發科,2017/12/29,287.67,286,288.45,288.46,289.7,292.68,299.62,300.63,303.75,314.59,313.5,311.58,309.31,292.95,259.16,1.2049,-9.816,0.8574,40.8953
2474 可成,2017/12/29,325.67,324.3,326.8,325.08,324.33,323.2,324.84,325.52,326.97,323.8,323.46,321.43,319.37,340.8,316.7,-1.7964,1.5478,11.1863,50.9276
2492 華新科,2017/12/29,104.67,105.9,109.85,107.63,106.58,104.14,104.08,103.48,101.18,91.66,90.62,89.48,88.11,76.66,61.39,-8.6956,-6.2499,38.3403,187.2473
2633 台灣高鐵,2017/12/29,23.47,23.4,23.38,23.43,23.39,23.39,23.44,23.45,23.46,23.74,23.81,23.84,23.94,24.67,23.38,1.0753,-2.0832,-2.4892,30.711
2801 彰銀,2017/12/29,16.5,16.47,16.44,16.44,16.44,16.44,16.41,16.41,16.41,16.35,16.36,16.36,16.36,16.63,17.17,0.6079,1.846,0.9144,3.7601
