證券代碼,年月日,成交量(千股)_週,收盤價(元),收盤價(元)_週
1101 台泥,2010-01-08,117587,35.4,20.33
1102 亞泥,2010-01-08,51529,35.35,20.71
1216 統一,2010-01-08,60833,38,19.54
1301 台塑,2010-01-08,78140,70.6,46.2
1303 南亞,2010-01-08,91410,63.6,43.32
1326 台化,2010-01-08,65287,72,46.74
1402 遠東新,2010-01-08,101352,41.7,25.24
2002 中鋼,2010-01-08,328232,34.85,22.58
2105 正新,2010-01-08,74360,69.9,26.33
2301 光寶科,2010-01-08,41545,47.5,26.39
2303 聯電,2010-01-08,437360,18.2,12.46
2308 台達電,2010-01-08,31884,97.5,69.02
2317 鴻海,2010-01-08,138805,150.5,75.24
2327 國巨,2010-01-08,129599,11.75,31.25
2330 台積電,2010-01-08,231981,64,46.62
2354 鴻準,2010-01-08,24205,120,69.48
2357 華碩,2010-01-08,187914,66,148.87
2382 廣達,2010-01-08,45946,68.5,41.43
2395 研華,2010-01-08,8683,72,39.72
2408 南亞科,2010-01-08,161404,32,252.01
2409 友達,2010-01-08,474474,41.7,32.08
2412 中華電,2010-01-08,156026,58.1,48.12
2454 聯發科,2010-01-08,28192,550,371.51
2474 可成,2010-01-08,70255,82.5,63.4
2492 華新科,2010-01-08,83653,18.65,19.1
2801 彰銀,2010-01-08,74378,15.5,8.36
2823 中壽,2010-01-08,67302,25.1,9.74
2880 華南金,2010-01-08,26249,20.4,9.8
2881 富邦金,2010-01-08,146411,40.25,24.41
2882 國泰金,2010-01-08,125834,60.4,36.31
2883 開發金,2010-01-08,282106,10.1,6.66
2884 玉山金,2010-01-08,56980,13.85,5.8
2885 元大金,2010-01-08,205293,23.4,15.26
2886 兆豐金,2010-01-08,120440,18.95,11.46
2887 台新金,2010-01-08,214597,12.95,6.23
2890 永豐金,2010-01-08,121903,12.6,6.53
2891 中信金,2010-01-08,188738,20.5,8.96
2892 第一金,2010-01-08,99531,19.95,9.42
2912 統一超,2010-01-08,9889,77,56.54
3008 大立光,2010-01-08,7303,397.5,342.51
3045 台灣大,2010-01-08,22479,60.6,40.51
3481 群創,2010-01-08,300589,54.1,45.36
4904 遠傳,2010-01-08,56410,37.5,23.75
6505 台塑化,2010-01-08,17373,85.7,62.93
9904 寶成,2010-01-08,123599,26.05,17.08
0050 元大台灣50,2010-01-08,81002,57.75,44.16
1101 台泥,2010-01-15,73425,34.45,19.79
1102 亞泥,2010-01-15,27914,34.95,20.48
1216 統一,2010-01-15,72300,37.5,19.29
1301 台塑,2010-01-15,31670,70.5,46.14
1303 南亞,2010-01-15,52672,64.1,43.66
1326 台化,2010-01-15,29276,71,46.09
1402 遠東新,2010-01-15,66562,41.25,24.97
2002 中鋼,2010-01-15,290118,34.75,22.52
2105 正新,2010-01-15,43549,70.6,26.6
2301 光寶科,2010-01-15,24162,47.85,26.58
2303 聯電,2010-01-15,289614,18,12.33
2308 台達電,2010-01-15,25012,98.1,69.45
2317 鴻海,2010-01-15,142664,152.5,76.24
2327 國巨,2010-01-15,101976,12.1,32.18
2330 台積電,2010-01-15,228963,63.5,46.26
2354 鴻準,2010-01-15,31670,129.5,74.98
2357 華碩,2010-01-15,141367,70.2,158.35
2382 廣達,2010-01-15,69252,71.1,43
2395 研華,2010-01-15,5714,70.4,38.83
2408 南亞科,2010-01-15,126870,33.9,266.98
2409 友達,2010-01-15,294666,40.95,31.5
2412 中華電,2010-01-15,86676,58.4,48.36
2454 聯發科,2010-01-15,29003,584,394.48
2474 可成,2010-01-15,28156,84,64.56
2492 華新科,2010-01-15,55212,18.75,19.2
2801 彰銀,2010-01-15,65542,15.45,8.34
2823 中壽,2010-01-15,58182,25,9.7
2880 華南金,2010-01-15,18146,20,9.6
2881 富邦金,2010-01-15,137555,39.2,23.77
2882 國泰金,2010-01-15,101754,59,35.47
2883 開發金,2010-01-15,175263,10.15,6.69
2884 玉山金,2010-01-15,37652,13.5,5.65
2885 元大金,2010-01-15,145528,23.25,15.16
2886 兆豐金,2010-01-15,100784,18.6,11.25
2887 台新金,2010-01-15,254422,12.95,6.23
2890 永豐金,2010-01-15,121496,12.5,6.48
2891 中信金,2010-01-15,136690,19.8,8.66
2892 第一金,2010-01-15,82799,19.35,9.14
2912 統一超,2010-01-15,9150,75.8,55.66
3008 大立光,2010-01-15,7952,417,359.31
3045 台灣大,2010-01-15,15242,62.3,41.64
3481 群創,2010-01-15,246568,56.9,47.7
4904 遠傳,2010-01-15,52646,38,24.07
6505 台塑化,2010-01-15,9992,84,61.68
9904 寶成,2010-01-15,66478,26.05,17.08
0050 元大台灣50,2010-01-15,53977,57.8,44.2
1101 台泥,2010-01-22,79408,31.8,18.27
1102 亞泥,2010-01-22,35624,32.75,19.19
1216 統一,2010-01-22,46863,36.1,18.57
1301 台塑,2010-01-22,41491,66.8,43.71
1303 南亞,2010-01-22,59470,64.3,43.8
1326 台化,2010-01-22,39308,70.1,45.51
1402 遠東新,2010-01-22,86971,37,22.39
2002 中鋼,2010-01-22,237311,32.95,21.35
2105 正新,2010-01-22,74810,64.1,24.15
2301 光寶科,2010-01-22,45400,44,24.45
2303 聯電,2010-01-22,265409,17.7,12.12
2308 台達電,2010-01-22,29679,94.6,66.97
2317 鴻海,2010-01-22,162794,138,68.99
2327 國巨,2010-01-22,73447,11.3,30.06
2330 台積電,2010-01-22,219489,61.1,44.51
2354 鴻準,2010-01-22,59900,125,72.38
2357 華碩,2010-01-22,107025,64.3,145.04
2382 廣達,2010-01-22,75835,65.5,39.62
2395 研華,2010-01-22,5749,66.7,36.79
2408 南亞科,2010-01-22,119549,28.9,227.6
2409 友達,2010-01-22,297855,38.1,29.31
2412 中華電,2010-01-22,56694,58.1,48.12
2454 聯發科,2010-01-22,29749,523,353.27
2474 可成,2010-01-22,33361,80.2,61.64
2492 華新科,2010-01-22,43345,17.7,18.12
2801 彰銀,2010-01-22,49472,14.95,8.07
2823 中壽,2010-01-22,49613,23.25,9.02
2880 華南金,2010-01-22,23801,19.2,9.22
2881 富邦金,2010-01-22,103602,37.3,22.62
2882 國泰金,2010-01-22,120095,56.8,34.15
2883 開發金,2010-01-22,163733,9.33,6.15
2884 玉山金,2010-01-22,35748,12.6,5.27
2885 元大金,2010-01-22,242273,20.95,13.66
2886 兆豐金,2010-01-22,99129,18.05,10.92
2887 台新金,2010-01-22,46069,12.85,6.18
2890 永豐金,2010-01-22,184341,11.35,5.88
2891 中信金,2010-01-22,163905,18.65,8.15
2892 第一金,2010-01-22,89231,18.55,8.76
2912 統一超,2010-01-22,6657,74.8,54.93
3008 大立光,2010-01-22,8115,403.5,347.68
3045 台灣大,2010-01-22,18131,61.9,41.37
3481 群創,2010-01-22,157046,53.6,44.94
4904 遠傳,2010-01-22,25177,38.15,24.16
6505 台塑化,2010-01-22,8402,82.8,60.8
9904 寶成,2010-01-22,75586,24.85,16.29
0050 元大台灣50,2010-01-22,78481,54.4,41.6
1101 台泥,2010-01-29,108176,29.85,17.15
1102 亞泥,2010-01-29,49007,30.3,17.75
1216 統一,2010-01-29,46071,34.2,17.59
1301 台塑,2010-01-29,50107,66.6,43.58
1303 南亞,2010-01-29,59527,60,40.87
1326 台化,2010-01-29,36757,69.3,44.99
