證券代碼,年月日,收盤價(元),收盤價(元)_週
0050 元大台灣50,2006/1/6,52.3,33.24
1101 台泥,2006/1/6,23.7,10.84
1102 亞泥,2006/1/6,19.15,7.2
1216 統一,2006/1/6,16.2,6.42
1301 台塑,2006/1/6,51.1,23.14
1303 南亞,2006/1/6,47.3,22.83
1402 遠東新,2006/1/6,22.1,10.06
2002 中鋼,2006/1/6,25.3,10.31
2105 正新,2006/1/6,27.45,6.56
2301 光寶科,2006/1/6,45,23.93
2303 聯電,2006/1/6,18.25,12.75
2308 台達電,2006/1/6,69.8,34.21
2317 鴻海,2006/1/6,200,47.29
2327 國巨,2006/1/6,13.65,33.48
2330 台積電,2006/1/6,65.5,36.07
2354 鴻準,2006/1/6,168.5,53.83
2357 華碩,2006/1/6,105.5,160.06
2382 廣達,2006/1/6,49.5,21.29
2395 研華,2006/1/6,92.8,36.07
2408 南亞科,2006/1/6,20.5,380.13
2409 友達,2006/1/6,47.65,28.49
2412 中華電,2006/1/6,57.5,30.83
2454 聯發科,2006/1/6,370,171.63
2474 可成,2006/1/6,240,76.49
2492 華新科,2006/1/6,32.65,25.39
2801 彰銀,2006/1/6,16.2,7.62
2823 中壽,2006/1/6,11.9,4.21
2880 華南金,2006/1/6,22.7,8.62
2881 富邦金,2006/1/6,28.7,15.33
2882 國泰金,2006/1/6,60.4,30.4
2883 開發金,2006/1/6,12.1,6.75
2884 玉山金,2006/1/6,20.6,7.25
2885 元大金,2006/1/6,13.25,8.26
2886 兆豐金,2006/1/6,21.8,10.6
2887 台新金,2006/1/6,17.75,8.39
2890 永豐金,2006/1/6,16.45,7.91
2891 中信金,2006/1/6,27,9.09
2892 第一金,2006/1/6,23.75,8.56
2912 統一超,2006/1/6,71.5,39.82
3008 大立光,2006/1/6,617,422.16
3045 台灣大,2006/1/6,29,18.29
4904 遠傳,2006/1/6,37.25,20.84
6505 台塑化,2006/1/6,58.8,32.53
9904 寶成,2006/1/6,20.95,9.28
0050 元大台灣50,2006/1/13,52.45,33.33
1101 台泥,2006/1/13,23.8,10.88
1102 亞泥,2006/1/13,19.95,7.5
1216 統一,2006/1/13,18,7.14
1301 台塑,2006/1/13,52.5,23.77
1303 南亞,2006/1/13,47.5,22.93
1402 遠東新,2006/1/13,22.75,10.36
2002 中鋼,2006/1/13,25.85,10.53
2105 正新,2006/1/13,28.4,6.79
2301 光寶科,2006/1/13,44.8,23.82
2303 聯電,2006/1/13,18.25,12.75
2308 台達電,2006/1/13,67.5,33.09
2317 鴻海,2006/1/13,211,49.89
2327 國巨,2006/1/13,13.35,32.75
2330 台積電,2006/1/13,64.5,35.52
2354 鴻準,2006/1/13,165,52.71
2357 華碩,2006/1/13,105,159.3
2382 廣達,2006/1/13,50.4,21.68
2395 研華,2006/1/13,91,35.38
2408 南亞科,2006/1/13,19.95,369.93
2409 友達,2006/1/13,47.5,28.4
2412 中華電,2006/1/13,57.6,30.88
2454 聯發科,2006/1/13,347,160.96
2474 可成,2006/1/13,242,77.13
2492 華新科,2006/1/13,36.3,28.23
2801 彰銀,2006/1/13,16.5,7.76
2823 中壽,2006/1/13,12.15,4.3
2880 華南金,2006/1/13,22.7,8.62
2881 富邦金,2006/1/13,28.6,15.28
2882 國泰金,2006/1/13,62.2,31.3
2883 開發金,2006/1/13,12.7,7.08
2884 玉山金,2006/1/13,21.3,7.5
2885 元大金,2006/1/13,13.35,8.33
2886 兆豐金,2006/1/13,21.7,10.55
2887 台新金,2006/1/13,18.45,8.72
2890 永豐金,2006/1/13,16.85,8.11
2891 中信金,2006/1/13,26.5,8.92
2892 第一金,2006/1/13,24.25,8.74
2912 統一超,2006/1/13,79.7,44.39
3008 大立光,2006/1/13,575,393.43
3045 台灣大,2006/1/13,28.7,18.1
4904 遠傳,2006/1/13,39,21.82
6505 台塑化,2006/1/13,58.1,32.15
9904 寶成,2006/1/13,21.85,9.68
0050 元大台灣50,2006/1/20,51.3,32.6
1101 台泥,2006/1/20,23.85,10.9
1102 亞泥,2006/1/20,19.35,7.27
1216 統一,2006/1/20,17.4,6.9
1301 台塑,2006/1/20,50.9,23.05
1303 南亞,2006/1/20,45.5,21.96
1402 遠東新,2006/1/20,21.35,9.72
2002 中鋼,2006/1/20,26.05,10.61
2105 正新,2006/1/20,24.85,5.94
2301 光寶科,2006/1/20,42.65,22.68
2303 聯電,2006/1/20,18.15,12.68
2308 台達電,2006/1/20,66.2,32.45
2317 鴻海,2006/1/20,209.5,49.54
2327 國巨,2006/1/20,12,29.44
2330 台積電,2006/1/20,62.5,34.41
2354 鴻準,2006/1/20,158,50.48
2357 華碩,2006/1/20,103,156.26
